Unnamed: 0,passResult,offenseFormation,personnelO,personnelD,defendersInBox,dropBackType,pff_playAction,pff_passCoverage,pff_passCoverageType,playDirection
65,I,SINGLEBACK,"1 RB, 3 TE, 1 WR","3 DL, 4 LB, 4 DB",8.0,SCRAMBLE_ROLLOUT_RIGHT,1,Cover-1,Man,left
66,R,EMPTY,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",4.0,,0,Cover-1,Man,left
67,I,SINGLEBACK,"1 RB, 1 TE, 3 WR","4 DL, 3 LB, 4 DB",7.0,TRADITIONAL,1,Red Zone,Other,right
68,I,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 4 LB, 4 DB",7.0,TRADITIONAL,0,Cover-3,Zone,left
69,C,I_FORM,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,1,Cover-2,Zone,right
70,R,SINGLEBACK,"2 RB, 1 TE, 2 WR","4 DL, 3 LB, 4 DB",8.0,SCRAMBLE_ROLLOUT_RIGHT,1,Cover-3,Zone,right
71,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 3 LB, 4 DB",6.0,TRADITIONAL,0,Red Zone,Other,right
72,C,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",5.0,TRADITIONAL,0,Cover-3,Zone,left
73,C,PISTOL,"2 RB, 2 TE, 1 WR","4 DL, 3 LB, 4 DB",7.0,TRADITIONAL,0,Cover-3,Zone,right
74,C,EMPTY,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",5.0,TRADITIONAL,0,Cover-6,Zone,left
75,I,SINGLEBACK,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",7.0,DESIGNED_ROLLOUT_RIGHT,1,Quarters,Zone,left
76,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 1 LB, 6 DB",6.0,TRADITIONAL,0,Cover-1,Man,left
77,C,EMPTY,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",4.0,TRADITIONAL,0,Cover-1,Man,left
78,S,PISTOL,"1 RB, 2 TE, 2 WR","3 DL, 3 LB, 5 DB",7.0,SCRAMBLE,1,Cover-3,Zone,left
79,I,SINGLEBACK,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",7.0,TRADITIONAL,0,Cover-1,Man,left
80,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,1,Cover-2,Zone,left
81,R,EMPTY,"0 RB, 1 TE, 4 WR","4 DL, 2 LB, 5 DB",4.0,SCRAMBLE,0,Cover-3,Zone,right
82,I,SHOTGUN,"1 RB, 0 TE, 4 WR","2 DL, 3 LB, 6 DB",6.0,TRADITIONAL,0,Cover-3,Zone,left
83,C,SINGLEBACK,"2 RB, 1 TE, 2 WR","5 DL, 2 LB, 4 DB",7.0,DESIGNED_ROLLOUT_LEFT,1,Quarters,Zone,right
84,S,EMPTY,"1 RB, 1 TE, 3 WR","2 DL, 3 LB, 6 DB",5.0,TRADITIONAL,0,Cover-1,Man,right
85,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",6.0,TRADITIONAL,0,Cover-2,Zone,left
86,I,SHOTGUN,"1 RB, 2 TE, 2 WR","3 DL, 3 LB, 5 DB",6.0,TRADITIONAL,0,Quarters,Zone,left
87,C,EMPTY,"1 RB, 2 TE, 2 WR","4 DL, 1 LB, 6 DB",5.0,TRADITIONAL,0,Cover-3,Zone,right
88,C,EMPTY,"1 RB, 1 TE, 3 WR","2 DL, 3 LB, 6 DB",5.0,TRADITIONAL,0,Cover-3,Zone,left
89,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Cover-3,Zone,right
90,R,SINGLEBACK,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",7.0,SCRAMBLE_ROLLOUT_RIGHT,1,Cover-2,Zone,right
91,C,SHOTGUN,"1 RB, 1 TE, 3 WR","1 DL, 4 LB, 6 DB",6.0,TRADITIONAL,0,Cover-1,Man,left
92,I,SINGLEBACK,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,1,Cover-1,Man,right
93,I,EMPTY,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",5.0,TRADITIONAL,0,Cover-2,Zone,left
94,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Cover-6,Zone,right
95,C,SINGLEBACK,"1 RB, 2 TE, 2 WR","3 DL, 3 LB, 5 DB",7.0,TRADITIONAL,1,Cover-2,Zone,left
96,I,I_FORM,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",6.0,SCRAMBLE,1,Quarters,Zone,right
97,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 3 LB, 6 DB",5.0,TRADITIONAL,0,Cover-3,Zone,left
98,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Cover-3,Zone,right
99,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",5.0,TRADITIONAL,1,Cover-1,Man,left
100,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Cover-3,Zone,right
101,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Cover-1,Man,right
102,C,SINGLEBACK,"1 RB, 2 TE, 2 WR","3 DL, 3 LB, 5 DB",7.0,DESIGNED_ROLLOUT_RIGHT,1,Cover-2,Zone,left
103,C,EMPTY,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",5.0,TRADITIONAL,0,Quarters,Zone,left
104,I,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,0,Cover-3,Zone,left
105,C,SHOTGUN,"2 RB, 1 TE, 2 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,2-Man,Man,right
106,S,I_FORM,"2 RB, 1 TE, 2 WR","3 DL, 4 LB, 4 DB",7.0,DESIGNED_ROLLOUT_LEFT,1,Cover-6,Zone,right
107,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",4.0,,0,Cover-3,Zone,left
108,R,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",5.0,SCRAMBLE,0,Cover-3,Zone,right
109,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Quarters,Zone,right
110,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",7.0,TRADITIONAL,0,Cover-1,Man,left
111,C,SINGLEBACK,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",7.0,DESIGNED_ROLLOUT_RIGHT,1,Cover-2,Zone,right
112,C,PISTOL,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",7.0,TRADITIONAL,1,Red Zone,Other,right
113,S,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 1 LB, 6 DB",5.0,SCRAMBLE,0,Cover-3,Zone,right
114,C,I_FORM,"2 RB, 1 TE, 2 WR","3 DL, 4 LB, 4 DB",8.0,TRADITIONAL,0,Cover-3,Zone,left
115,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,0,Cover-3,Zone,right
116,I,EMPTY,"0 RB, 1 TE, 4 WR","4 DL, 1 LB, 6 DB",7.0,TRADITIONAL,0,Cover-0,Man,right
117,C,EMPTY,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,0,Cover-3,Zone,right
118,C,SINGLEBACK,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",7.0,TRADITIONAL,1,Quarters,Zone,left
119,I,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,0,Cover-6,Zone,left
120,I,SINGLEBACK,"1 RB, 2 TE, 2 WR","2 DL, 4 LB, 5 DB",7.0,TRADITIONAL,0,Cover-3,Zone,left
121,C,SHOTGUN,"1 RB, 2 TE, 2 WR","3 DL, 4 LB, 4 DB",6.0,TRADITIONAL,0,Cover-2,Zone,left
122,C,SINGLEBACK,"6 OL, 1 RB, 1 TE, 2 WR","3 DL, 4 LB, 4 DB",7.0,TRADITIONAL,1,Quarters,Zone,right
123,C,SINGLEBACK,"1 RB, 2 TE, 2 WR","3 DL, 4 LB, 4 DB",8.0,DESIGNED_ROLLOUT_RIGHT,0,Cover-0,Man,left
124,C,EMPTY,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",5.0,TRADITIONAL,0,Cover-6,Zone,right
125,I,EMPTY,"1 RB, 1 TE, 3 WR","2 DL, 3 LB, 6 DB",6.0,TRADITIONAL,0,Cover-2,Zone,left
126,I,SHOTGUN,"1 RB, 2 TE, 2 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,0,Cover-3,Zone,left
127,I,SHOTGUN,"2 RB, 1 TE, 2 WR","4 DL, 3 LB, 4 DB",6.0,TRADITIONAL,0,Cover-3,Zone,left
128,I,I_FORM,"2 QB, 1 RB, 2 TE, 1 WR","3 DL, 4 LB, 4 DB",7.0,TRADITIONAL,1,Cover-6,Zone,right
129,S,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Quarters,Zone,left
130,C,SINGLEBACK,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",7.0,TRADITIONAL,0,Cover-1,Man,left
131,C,SINGLEBACK,"1 RB, 2 TE, 2 WR","3 DL, 3 LB, 5 DB",6.0,TRADITIONAL,1,Cover-3,Zone,left
132,C,EMPTY,"1 RB, 1 TE, 3 WR","1 DL, 5 LB, 5 DB",5.0,TRADITIONAL,0,Cover-1,Man,left
133,I,EMPTY,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",5.0,TRADITIONAL,0,Cover-1,Man,right
134,C,SHOTGUN,"1 RB, 2 TE, 2 WR","3 DL, 3 LB, 5 DB",7.0,SCRAMBLE,1,Cover-3,Zone,left
135,I,SHOTGUN,"1 RB, 2 TE, 2 WR","1 DL, 4 LB, 6 DB",7.0,TRADITIONAL,0,Cover-6,Zone,left
136,I,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",6.0,TRADITIONAL,1,Quarters,Zone,left
137,I,SHOTGUN,"1 RB, 2 TE, 2 WR","3 DL, 4 LB, 4 DB",5.0,SCRAMBLE,0,Cover-1,Man,left
138,I,SHOTGUN,"1 RB, 1 TE, 3 WR","1 DL, 4 LB, 6 DB",6.0,TRADITIONAL,0,2-Man,Man,left
139,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Cover-6,Zone,right
140,R,SHOTGUN,"1 RB, 1 TE, 3 WR","1 DL, 4 LB, 6 DB",5.0,SCRAMBLE,0,Cover-1,Man,right
141,C,EMPTY,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,,1,Quarters,Zone,left
142,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",6.0,DESIGNED_ROLLOUT_RIGHT,1,Cover-3,Zone,right
143,R,EMPTY,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,SCRAMBLE,0,Quarters,Zone,left
144,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 3 LB, 6 DB",5.0,TRADITIONAL,1,Cover-1,Man,left
145,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 3 LB, 6 DB",6.0,SCRAMBLE,0,Red Zone,Other,left
146,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",7.0,TRADITIONAL,0,Quarters,Zone,left
147,C,SINGLEBACK,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,,1,Cover-3,Zone,right
148,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",4.0,,0,Cover-3,Zone,left
149,C,EMPTY,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",6.0,TRADITIONAL,0,Cover-1,Man,left
150,C,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",7.0,TRADITIONAL,0,Cover-1,Man,left
151,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",5.0,TRADITIONAL,0,Cover-1,Man,left
152,S,EMPTY,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",5.0,TRADITIONAL,0,Cover-1,Man,right
153,C,SHOTGUN,"2 RB, 1 TE, 2 WR","4 DL, 3 LB, 4 DB",7.0,TRADITIONAL,1,Cover-3,Zone,right
154,S,I_FORM,"2 RB, 1 TE, 2 WR","4 DL, 3 LB, 4 DB",8.0,TRADITIONAL,1,Cover-3,Zone,left
155,C,SINGLEBACK,"1 RB, 2 TE, 2 WR","3 DL, 4 LB, 4 DB",7.0,TRADITIONAL,1,Cover-2,Zone,right
156,C,EMPTY,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",5.0,TRADITIONAL,0,Cover-1,Man,left
157,C,I_FORM,"2 RB, 1 TE, 2 WR","4 DL, 3 LB, 4 DB",7.0,TRADITIONAL,1,Cover-6,Zone,right
158,C,SHOTGUN,"2 RB, 1 TE, 2 WR","3 DL, 3 LB, 5 DB",6.0,TRADITIONAL,0,Cover-1,Man,right
159,C,SHOTGUN,"1 RB, 0 TE, 4 WR","4 DL, 2 LB, 5 DB",5.0,SCRAMBLE,0,Quarters,Zone,left
160,C,SINGLEBACK,"2 RB, 0 TE, 3 WR","4 DL, 3 LB, 4 DB",7.0,TRADITIONAL,1,Cover-3,Zone,left
161,S,I_FORM,"2 RB, 0 TE, 3 WR","5 DL, 2 LB, 4 DB",8.0,TRADITIONAL,0,Cover-3,Zone,right
162,S,EMPTY,"1 RB, 1 TE, 3 WR","1 DL, 4 LB, 6 DB",6.0,TRADITIONAL,0,Cover-1,Man,right
163,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",6.0,SCRAMBLE_ROLLOUT_RIGHT,1,Cover-2,Zone,left
164,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",6.0,TRADITIONAL,0,Cover-1,Man,left
165,I,PISTOL,"2 RB, 0 TE, 3 WR","4 DL, 2 LB, 5 DB",7.0,TRADITIONAL,0,Cover-3,Zone,right
166,I,EMPTY,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Cover-1,Man,right
167,I,SINGLEBACK,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",6.0,DESIGNED_ROLLOUT_RIGHT,1,Red Zone,Other,right
168,C,SINGLEBACK,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",6.0,TRADITIONAL,1,Cover-2,Zone,right
169,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 1 LB, 6 DB",5.0,TRADITIONAL,0,Quarters,Zone,right
170,I,EMPTY,"1 RB, 0 TE, 4 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,0,Cover-2,Zone,left
171,C,SINGLEBACK,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",6.0,DESIGNED_ROLLOUT_LEFT,1,Cover-3,Zone,right
172,S,SHOTGUN,"1 RB, 0 TE, 4 WR","3 DL, 2 LB, 6 DB",5.0,TRADITIONAL,0,Cover-3,Zone,right
173,C,I_FORM,"1 RB, 3 TE, 1 WR","4 DL, 3 LB, 4 DB",8.0,TRADITIONAL,1,Cover-2,Zone,right
174,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 3 LB, 6 DB",5.0,TRADITIONAL,0,Quarters,Zone,left
175,C,PISTOL,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",7.0,TRADITIONAL,1,Cover-3,Zone,left
176,R,EMPTY,"1 RB, 1 TE, 3 WR","1 DL, 3 LB, 7 DB",3.0,SCRAMBLE,0,Red Zone,Other,right
177,C,SINGLEBACK,"1 RB, 3 TE, 1 WR","4 DL, 3 LB, 4 DB",8.0,DESIGNED_ROLLOUT_LEFT,1,Cover-3,Zone,right
178,S,SHOTGUN,"1 RB, 0 TE, 4 WR","3 DL, 3 LB, 5 DB",6.0,TRADITIONAL,0,Cover-3,Zone,left
179,C,SINGLEBACK,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",7.0,TRADITIONAL,0,Cover-1,Man,left
180,C,SHOTGUN,"2 RB, 1 TE, 2 WR","2 DL, 4 LB, 5 DB",7.0,TRADITIONAL,0,Cover-3,Zone,left
181,I,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",7.0,TRADITIONAL,0,Cover-2,Zone,right
182,I,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",6.0,TRADITIONAL,0,Quarters,Zone,right
183,C,EMPTY,"1 RB, 2 TE, 2 WR","3 DL, 4 LB, 4 DB",6.0,TRADITIONAL,0,Cover-1,Man,left
184,I,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",7.0,TRADITIONAL,0,Cover-2,Zone,right
185,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",6.0,TRADITIONAL,0,Cover-1,Man,left
